Espanol;Positivo;Negativo;Enojo;Anticipacion;Desagrado;Miedo;Alegria;Tristeza;Sorpresa;Confianza
adagio;0;0;0;0;0;0;0;0;0;0
firme;0;0;0;0;0;0;0;0;0;0
adaptar;1;0;0;0;0;0;0;0;0;0
adaptable;1;0;0;0;0;0;0;0;0;0
anadir;0;0;0;0;0;0;0;0;0;0
adicional;0;0;0;0;0;0;0;0;0;0
apendice;0;0;0;0;0;0;0;0;0;0
sumador;0;1;1;0;1;1;0;1;0;0
adiccion;0;1;0;0;0;0;0;0;0;0
adicion;0;0;0;0;0;0;0;0;0;0
adicional;0;0;0;0;0;0;0;0;0;0
aditivo;0;0;0;0;0;0;0;0;0;0
direccion;0;0;0;0;0;0;0;0;0;0
destinatario;0;0;0;0;0;0;0;0;0;0
direcciones;1;0;0;1;0;0;0;0;0;0
adepto;1;0;0;0;0;0;0;0;0;0
adecuado;0;0;0;0;0;0;0;0;0;0
adherirse;0;0;0;0;0;0;0;0;0;0
adherencia;0;0;0;0;0;0;0;0;0;0
adherente;0;0;0;0;0;0;0;0;0;0
adhiriendo;0;0;0;0;0;0;0;0;0;1
adhesion;0;0;0;0;0;0;0;0;0;0
adhesivo;0;0;0;0;0;0;0;0;0;0
adios;0;0;0;0;0;0;0;0;0;0
adiposo;0;1;0;0;0;0;0;0;0;0
proximidad;0;0;0;0;0;0;0;0;0;0
adyacente;0;0;0;0;0;0;0;0;0;0
adjetivo;0;0;0;0;0;0;0;0;0;0
contiguo;0;0;0;0;0;0;0;0;0;0
aplazar;0;0;0;0;0;0;0;0;0;0
aplazamiento;0;0;0;0;0;0;0;0;0;0
juzgar;0;1;0;0;0;1;0;0;0;0
adjudicacion;0;0;0;0;0;0;0;0;0;0
adjunto;1;0;0;0;0;0;0;0;0;0
ajustar;0;0;0;0;0;0;0;0;0;0
ajuste;0;0;0;0;0;0;0;0;0;0
auxiliar;0;0;0;0;0;0;0;0;0;0
administrar;0;0;0;0;0;0;0;0;0;0
administracion;0;0;0;0;0;0;0;0;0;0
administrativo;0;0;0;0;0;0;0;0;0;1
admirable;1;0;0;0;0;0;1;0;0;1
almirante;1;0;0;0;0;0;0;0;0;1
almirantazgo;0;0;0;0;0;0;0;0;0;0
admiracion;1;0;0;0;0;0;1;0;0;1
admirar;1;0;0;0;0;0;0;0;0;1
admirador;1;0;0;0;0;0;0;0;0;0
admisibilidad;0;0;0;0;0;0;0;0;0;0
admisible;1;0;0;0;0;0;0;0;0;1
admision;0;0;0;0;0;0;0;0;0;0
admitir;0;0;0;0;0;0;0;0;0;0
entrada;0;0;0;0;0;0;0;0;0;0
aceptado;0;0;0;0;0;0;0;0;0;0
admitir;0;0;0;0;0;0;0;0;0;0
mezcla;0;0;0;0;0;0;0;0;0;0
amonestacion;0;1;0;0;0;1;0;0;0;0
alharaca;0;0;0;0;0;0;0;0;0;0
adobe;0;0;0;0;0;0;0;0;0;0
adolescencia;0;0;0;0;0;0;0;0;0;0
adolescente;0;0;0;0;0;0;0;0;0;0
adoptar;0;0;0;0;0;0;0;0;0;0
adopcion;0;0;0;0;0;0;0;0;0;0
adorable;1;0;0;0;0;0;1;0;0;0
adoracion;1;0;0;0;0;0;1;0;0;1
adorar;1;0;0;1;0;0;1;0;0;1
adornar;0;0;0;0;0;0;0;0;0;0
adorno;0;0;0;0;0;0;0;0;0;0
a la deriva;0;1;0;1;0;1;0;1;0;0
adulto;0;0;0;0;0;0;0;0;0;0
espurio;0;1;0;0;0;0;0;0;0;0
adulterio;0;1;0;0;1;0;0;1;0;0
avanzar;1;0;0;1;0;1;1;0;1;0
avanzado;1;0;0;0;0;0;0;0;0;0
adelanto;1;0;0;0;0;0;0;0;0;0
avanzando;0;0;0;0;0;0;0;0;0;0
ventaja;1;0;0;0;0;0;0;0;0;0
ventajoso;1;0;0;0;0;0;0;0;0;0
adviento;1;0;0;1;0;0;1;0;0;1
aventuras;1;0;0;1;0;0;0;0;0;0
aventurero;0;0;0;0;0;0;0;0;0;0
aventurero;1;0;0;0;0;0;0;0;0;0
adversario;0;1;1;0;0;0;0;0;0;0
adverso;0;1;1;0;1;1;0;1;0;0
adversidad;0;1;1;0;0;1;0;1;0;0
anunciar;0;0;0;0;0;0;0;0;0;0
anuncio;0;0;0;0;0;0;0;0;0;0
Consejo;0;0;0;0;0;0;0;0;0;1
aconsejable;1;0;0;0;0;0;0;0;0;1
asesorar;1;0;0;0;0;0;0;0;0;1
aconsejado;0;0;0;0;0;0;0;0;0;1
consejo;0;0;0;0;0;0;0;0;0;0
asesor;1;0;0;0;0;0;0;0;0;1
Abogacia;1;0;1;1;0;0;1;0;0;1
abogado;0;0;0;0;0;0;0;0;0;1
egida;0;0;0;0;0;0;0;0;0;0
aireacion;0;0;0;0;0;0;0;0;0;0
aereo;0;0;0;0;0;0;0;0;0;0
aerodromo;0;0;0;0;0;0;0;0;0;0
aerodinamica;0;0;0;0;0;0;0;0;0;0
aeronautica;0;0;0;0;0;0;0;0;0;0
avion;0;0;0;0;0;0;0;0;0;0
estetico;1;0;0;0;0;0;0;0;0;0
estetica;1;0;0;0;0;0;1;0;0;0
lejos;0;0;0;0;0;0;0;0;0;0
afable;1;0;0;0;0;0;0;0;0;0
asunto;0;0;0;0;0;0;0;0;0;0
conmovedor;0;0;0;0;0;0;0;0;0;0
afecto;1;0;0;0;0;0;1;0;0;1
afectos;0;0;0;0;0;0;0;0;0;0
declaracion jurada;0;0;0;0;0;0;0;0;0;0
asociado;1;0;0;0;0;0;0;0;0;0
afiliacion;0;0;0;0;0;0;0;0;0;0
afinidad;0;0;0;0;0;0;0;0;0;0
afirmar;1;0;0;0;0;0;0;0;0;1
afirmacion;1;0;0;0;0;0;0;0;0;0
afirmativo;1;0;0;0;0;0;0;0;0;0
afirmativamente;1;0;0;0;0;0;0;0;0;1
afijo;0;0;0;0;0;0;0;0;0;0
afligir;0;1;0;0;0;1;0;1;0;0
afligido;0;1;0;0;0;0;0;0;0;0
afliccion;0;1;0;0;1;1;0;1;0;0
afluencia;1;0;0;0;0;0;1;0;0;0
afluente;1;0;0;0;0;0;0;0;0;0
permitirse;1;0;0;0;0;0;0;0;0;0
afrenta;0;1;1;0;1;1;0;1;1;0
al campo;0;0;0;0;0;0;0;0;0;0
a proa;0;0;0;0;0;0;0;0;0;0
citado;0;0;0;0;0;0;0;0;0;0
antedicho;0;0;0;0;0;0;0;0;0;0
asustado;0;1;0;0;0;1;0;0;0;0
de nuevo;0;0;0;0;0;0;0;0;0;0
en popa;0;0;0;0;0;0;0;0;0;0
secuelas;0;1;1;0;1;1;0;1;0;0
tarde;0;0;0;0;0;0;0;0;0;0
regusto;0;1;0;0;0;0;0;0;0;0
idea tardia;0;0;0;0;0;0;0;0;0;0
agata;0;0;0;0;0;0;0;0;0;0
anos;0;0;0;0;0;0;0;0;0;0
Envejecido;0;0;0;0;0;0;0;0;0;0
agencia;0;0;0;0;0;0;0;0;0;0
agente;0;0;0;0;0;0;0;0;0;0
aglomeracion;0;0;0;0;0;0;0;0;0;0
agravado;0;1;1;0;0;0;0;0;0;0
agravante;0;1;1;0;0;0;0;1;0;0
agravacion;0;1;1;0;1;0;0;0;0;0
agregar;0;0;0;0;0;0;0;0;0;0
agregacion;0;0;0;0;0;0;0;0;0;0
agresion;0;1;1;0;0;1;0;0;0;0
agresivo;0;1;1;0;0;1;0;0;0;0
agresor;0;1;1;0;0;1;0;0;0;0
espantado;0;1;0;0;1;1;0;0;1;0
agil;1;0;0;0;0;0;0;0;0;0
agilidad;1;0;0;0;0;0;0;0;0;0
agitado;0;1;1;0;0;0;0;0;0;0
agitacion;0;1;1;0;0;0;0;0;0;0
agnostico;0;0;0;0;0;0;0;0;0;0
hace;0;0;0;0;0;0;0;0;0;0
agonizante;0;1;0;0;0;1;0;0;0;0
agonia;0;1;1;0;0;1;0;1;0;0
de acuerdo;1;0;0;0;0;0;0;0;0;0
agradable;1;0;0;0;0;0;0;0;0;1
convenido;1;0;0;0;0;0;0;0;0;1
aceptando;1;0;0;0;0;0;0;0;0;1
acuerdo;1;0;0;0;0;0;0;0;0;1
agricola;0;0;0;0;0;0;0;0;0;0
agricultura;1;0;0;0;0;0;0;0;0;0
encallado;0;1;0;0;0;0;0;0;0;0
adelante;1;0;0;0;0;0;0;0;0;0
ayuda;1;0;0;0;0;0;0;0;0;0
ayudando;1;0;0;0;0;0;0;0;0;0
afligir;0;1;0;0;0;0;0;1;0;0
enfermo;0;1;0;0;0;1;0;1;0;0
enfermedad;0;0;0;0;0;0;0;0;0;0
objetivo;0;0;0;0;0;0;0;0;0;0
sin objetivo;0;1;0;0;0;0;0;0;0;0
aire;0;0;0;0;0;0;0;0;0;0
airbag;0;0;0;0;0;0;0;0;0;0
puente aereo;0;0;0;0;0;0;0;0;0;0
aerolinea;0;0;0;0;0;0;0;0;0;0
aviador;0;0;0;0;0;0;0;0;0;0
avion;0;0;0;0;0;0;0;0;0;0
aeropuerto;0;0;0;1;0;0;0;0;0;0
aires;0;1;0;0;1;0;0;0;0;0
dirigible;0;0;0;0;0;0;0;0;0;0
pasillo;0;0;0;0;0;0;0;0;0;0
parecido;0;0;0;0;0;0;0;0;0;1
alabastro;1;0;0;0;0;0;0;0;0;0
alarma;0;1;0;0;0;1;0;0;1;0
alarmante;0;1;0;0;0;1;0;0;1;0
album;0;0;0;0;0;0;0;0;0;0
alquimia;0;0;0;0;0;0;0;0;0;0
alcohol;0;0;0;0;0;0;0;0;0;0
alcoholismo;0;1;1;0;1;1;0;1;0;0
hueco;0;0;0;0;0;0;0;0;0;0
alerta;0;0;0;0;0;0;0;0;0;0
vigilancia;1;0;0;1;0;1;0;0;1;0
alertas;0;0;0;1;0;1;0;0;1;0
alfalfa;0;0;0;0;0;0;0;0;0;0
algebra;0;0;0;0;0;0;0;0;0;0
algebraico;0;0;0;0;0;0;0;0;0;0
algoritmo;0;0;0;0;0;0;0;0;0;0
coartada;0;0;0;0;0;0;0;0;0;0
extraterrestre;0;1;0;0;1;1;0;0;0;0
enajenar;0;1;1;0;1;0;0;0;0;0
alienado;0;1;0;0;0;0;0;1;0;0
alienacion;0;1;1;0;1;1;0;1;0;0
posarse;0;0;0;0;0;0;0;0;0;0
alineado;0;0;0;0;0;0;0;0;0;0
alineacion;0;0;0;0;0;0;0;0;0;0
igual;0;0;0;0;0;0;0;0;0;0
pension alimenticia;0;1;0;0;0;0;0;0;0;0
alicuota;0;0;0;0;0;0;0;0;0;0
viva;1;0;0;1;0;0;1;0;0;1
alcali;0;0;0;0;0;0;0;0;0;0
alcaloides;0;0;0;0;0;0;0;0;0;0
aliviar;1;0;0;0;0;0;0;0;0;0
alegacion;0;1;1;0;0;0;0;0;0;0
alegar;0;1;0;0;0;0;0;0;0;0
presunto;0;0;0;0;0;0;0;0;0;0
lealtad;1;0;0;0;0;0;0;0;0;1
alegorico;0;0;0;0;0;0;0;0;0;0
alegoria;0;0;0;0;0;0;0;0;0;0
alegro;1;0;0;0;0;0;0;0;0;0
aliviar;1;0;0;0;0;0;0;0;0;0
alivio;1;0;0;0;0;0;0;0;0;0
callejon;0;0;0;0;0;0;0;0;0;0
Alianza;0;0;0;0;0;0;0;0;0;1
aliado;1;0;0;0;0;0;0;0;0;1
caiman;0;0;0;0;0;0;0;0;0;0
asignar;0;0;0;0;0;0;0;0;0;0
asignacion;0;0;0;0;0;0;0;0;0;0
asignar;0;0;0;0;0;0;0;0;0;0
asignacion;0;0;0;0;0;0;0;0;0;0
admisible;1;0;0;0;0;0;0;0;0;0
tolerancia;0;0;0;0;0;0;0;0;0;0
permitido;0;0;0;0;0;0;0;0;0;0
aleacion;0;0;0;0;0;0;0;0;0;0
seducir;1;0;0;1;0;0;1;0;1;0
seductor;1;0;0;0;0;0;0;0;0;0
alusion;0;0;0;0;0;0;0;0;0;0
aluvial;0;0;0;0;0;0;0;0;0;0
aliado;1;0;0;0;0;0;0;0;0;1
almanaque;0;0;0;0;0;0;0;0;0;0
todopoderoso;1;0;0;0;0;0;0;0;0;0
en alto;0;0;0;0;0;0;0;0;0;0
aloha;1;0;0;1;0;0;1;0;0;0
junto a;0;0;0;0;0;0;0;0;0;0
a distancia;0;1;0;0;0;0;0;0;0;0
en voz alta;0;0;0;0;0;0;0;0;0;0
alfabeto;0;0;0;0;0;0;0;0;0;0
alfabetico;0;0;0;0;0;0;0;0;0;0
altar;0;0;0;0;0;0;0;0;0;0
alterar;0;0;0;0;0;0;0;0;0;0
modificacion;0;0;0;0;0;0;0;0;0;0
altercado;0;1;1;0;0;0;0;0;0;0
alterado;0;0;0;0;0;0;0;0;0;0
alterno;0;0;0;0;0;0;0;0;0;0
alternativa;0;0;0;0;0;0;0;0;0;0
altitud;0;0;0;0;0;0;0;0;0;0
alto;0;0;0;0;0;0;0;0;0;0
en total;0;0;0;0;0;0;0;0;0;0
antiguo alumno;0;0;0;0;0;0;0;0;0;0
alveolar;0;0;0;0;0;0;0;0;0;0
amalgama;0;0;0;0;0;0;0;0;0;0
amalgamacion;0;0;0;0;0;0;0;0;0;0
acumular;0;0;0;0;0;0;0;0;0;0
aficionado;0;0;0;0;0;0;0;0;0;0
asombro;0;0;0;0;0;0;0;0;1;0
asombro;0;0;0;0;0;0;0;0;0;0
espantosamente;1;0;0;0;0;0;1;0;1;0
embajador;1;0;0;0;0;0;0;0;0;1
ambar;0;0;0;0;0;0;0;0;0;0
ambiente;0;0;0;0;0;0;0;0;0;0
ambiguedad;0;0;0;0;0;0;0;0;0;0
ambiguo;0;1;0;0;0;0;0;0;0;0
ambito;0;0;0;0;0;0;0;0;0;0
ambicion;1;0;0;1;0;0;1;0;0;1
ambicioso;0;0;0;0;0;0;0;0;0;0
ambulancia;0;0;0;0;0;1;0;0;0;1
emboscada;0;1;1;0;0;1;0;0;1;0
mejorar;1;0;0;0;0;0;0;0;0;0
Amen;1;0;0;0;0;0;1;0;0;1
docil;1;0;0;0;0;0;0;0;0;0
enmendar;1;0;0;0;0;0;0;0;0;0
enmienda;0;0;0;0;0;0;0;0;0;0
compensacion;1;0;0;0;0;0;0;0;0;0
amenidad;1;0;0;0;0;0;0;0;0;0
amatista;0;0;0;0;0;0;0;0;0;0
amable;1;0;0;0;0;0;0;0;0;0
amistoso;1;0;0;0;0;0;1;0;0;0
en medio de;0;0;0;0;0;0;0;0;0;0
en medio de;0;0;0;0;0;0;0;0;0;0
amoniaco;0;0;0;0;1;0;0;0;0;0
municion;0;0;0;0;0;0;0;0;0;0
amnesia;0;1;0;0;0;0;0;0;0;0
amnistia;1;0;0;0;0;0;1;0;0;0
amorfo;0;0;0;0;0;0;0;0;0;0
amortizacion;0;0;0;0;0;0;0;0;0;1
cantidad;0;0;0;0;0;0;0;0;0;0
ampersand;0;0;0;0;0;0;0;0;0;0
anfetaminas;0;1;0;0;1;0;0;0;0;0
anfibio;0;0;0;0;0;0;0;0;0;0
anfibio;0;0;0;0;0;0;0;0;0;0
anfiteatro;0;0;0;0;0;0;0;0;0;0
amplificacion;0;0;0;0;0;0;0;0;0;0
amplificar;0;0;0;0;0;0;0;0;0;0
amplitud;0;0;0;0;0;0;0;0;0;0
amputacion;0;0;0;0;0;0;0;0;0;0
amuleto;0;0;0;0;0;0;0;0;0;0
entretener;1;0;0;0;0;0;1;0;0;0
divertido;1;0;0;0;0;0;1;0;0;0
diversion;1;0;0;0;0;0;1;0;0;0
divertido;1;0;0;0;0;0;1;0;0;0
anaconda;0;1;0;0;1;1;0;0;0;0
anestesia;0;0;0;0;0;0;0;0;0;0
anestesico;0;0;0;0;0;0;0;0;0;0
anal;0;1;0;0;0;0;0;0;0;0
analgesico;0;0;0;0;0;0;0;0;0;0
analogo;0;0;0;0;0;0;0;0;0;0
termino analogo;0;0;0;0;0;0;0;0;0;0
analogia;0;0;0;0;0;0;0;0;0;0
analisis;0;0;0;0;0;0;0;0;0;0
analista;1;0;0;1;0;0;0;0;0;1
analitico;0;0;0;0;0;0;0;0;0;0
analizar;0;0;0;0;0;0;0;0;0;0
analizador;0;0;0;0;0;0;0;0;0;0
anarquismo;0;1;1;0;0;1;0;0;0;0
anarquista;0;1;1;0;0;1;0;0;0;0
anarquia;0;1;1;0;0;1;0;0;0;0
anastomosis;0;0;0;0;0;0;0;0;0;0
anatema;0;1;1;0;1;1;0;1;0;0
anatomico;0;0;0;0;0;0;0;0;0;0
anatomia;0;0;0;0;0;0;0;0;0;0
antepasado;0;0;0;0;0;0;0;0;0;0
ancestral;0;0;0;0;0;0;0;0;0;1
ascendencia;0;0;0;0;0;0;0;0;0;0
ancla;1;0;0;0;0;0;0;0;0;0
anclaje;1;0;0;0;0;0;0;1;0;0
antiguo;0;1;0;0;0;0;0;0;0;0
auxiliar;0;0;0;0;0;0;0;0;0;0
androgino;0;0;0;0;0;0;0;0;0;0
anemona;0;0;0;0;0;0;0;0;0;0
de nuevo;0;0;0;0;0;0;0;0;0;0
angel;1;0;0;1;0;0;1;0;1;1
angelical;1;0;0;0;0;0;1;0;0;1
enfado;0;1;1;0;0;0;0;0;0;0
angina;0;1;0;0;0;1;0;0;0;0
angiografia;0;0;0;0;0;0;0;0;0;0
angulo;0;0;0;0;0;0;0;0;0;0
pesca con cana;0;1;0;1;0;0;0;0;0;0
enojado;0;1;1;0;1;0;0;0;0;0
angustia;0;1;1;0;0;1;0;1;0;0
angular;0;0;0;0;0;0;0;0;0;0
anhidro;0;0;0;0;0;0;0;0;0;0
animal;0;0;0;0;0;0;0;0;0;0
animar;1;0;0;0;0;0;0;0;0;0
animado;1;0;0;0;0;0;1;0;0;0
animacion;0;0;0;0;0;0;0;0;0;0
animosidad;0;1;1;0;1;1;0;1;0;0
animo;0;1;1;0;0;0;0;0;0;0
tobillo;0;0;0;0;0;0;0;0;0;0
anales;0;0;0;0;0;0;0;0;0;0
anexo;0;0;0;0;0;0;0;0;0;0
anexion;0;0;0;0;0;0;0;0;0;0
aniquilar;0;1;1;0;0;1;0;0;0;0
aniquilado;0;1;1;0;0;1;0;1;0;0
aniquilacion;0;1;1;0;0;1;0;1;0;0
anotar;0;0;0;0;0;0;0;0;0;0
anotacion;0;0;0;0;0;0;0;0;0;0
anunciar;0;0;0;0;0;0;0;0;0;0
anuncio;0;0;0;1;0;0;0;0;0;0
molestar;0;1;1;0;1;0;0;0;0;0
molestia;0;1;1;0;1;0;0;0;0;0
molesto;0;1;1;0;0;0;0;0;0;0
anualidad;0;0;0;0;0;0;0;0;0;0
anular;0;1;0;0;0;0;0;0;0;0
anular;0;0;0;0;0;0;0;0;0;0
anulacion;0;1;0;0;0;0;0;1;0;0
anillo;0;0;0;0;0;0;0;0;0;0
uncion;0;0;0;0;0;0;0;0;0;0
anomalo;0;0;0;0;0;0;0;0;0;0
anomalia;0;1;0;0;0;1;0;0;1;0
luego;0;0;0;0;0;0;0;0;0;0
anonimo;0;1;0;0;0;0;0;0;0;0
responder;0;0;0;0;0;0;0;0;0;0
responsable;0;0;0;0;0;0;0;0;0;1
respondiendo;0;0;0;0;0;0;0;0;0;0
hormiga;0;0;0;0;0;0;0;0;0;0
antagonismo;0;1;1;0;0;0;0;0;0;0
antagonista;0;1;1;0;0;0;0;0;0;0
antagonista;0;1;1;0;1;0;0;0;0;0
antecedente;0;0;0;0;0;0;0;0;0;0
antilope;0;0;0;0;0;0;0;0;0;0
antena;0;0;0;0;0;0;0;0;0;0
anterior;0;0;0;0;0;0;0;0;0;0
himno;0;0;0;0;0;0;0;0;0;0
antologia;0;0;0;0;0;0;0;0;0;0
antrax;0;1;0;0;1;1;0;1;0;0
antropologia;0;0;0;0;0;0;0;0;0;0
antibiotico;0;0;0;0;0;0;0;0;0;0
antibioticos;1;0;0;0;0;0;0;0;0;0
antecristo;0;1;1;0;1;1;0;0;0;0
anticipacion;0;0;0;1;0;0;0;0;0;0
anticipado;0;0;0;1;0;0;0;0;0;0
antidoto;1;0;0;1;0;0;0;0;0;1
antimicotico;1;0;0;0;0;0;0;0;0;1
antimonio;0;0;0;0;0;0;0;0;0;0
